EAN,Price,Quantity
8596475103985,43.45,41
8596475104135,60.53,66
8596475104616,18.78,77
8596475104715,18.78,35
8596475104944,37.76,188
8596475104951,37.76,182
8596475104968,37.76,165
8596475104975,37.76,162
8596475105101,60.53,51
8596475107570,18.78,138
8596475107662,20.68,425
8596475108003,34.53,42
8596475108201,34.53,140
8596475108218,34.53,94
8596475108225,34.53,155
8596475109079,34.53,88
8596475109086,34.53,72
8596475109451,20.68,958
8596475109604,18.78,153
8596475110228,20.68,859
8596475110341,18.78,286
8596475110365,34.53,141
8596475110754,35.10,107
8596475112673,35.10,70
8596475112758,20.68,871
8596475113526,20.68,116
8596475113564,28.27,313
8596475113786,54.84,116
8596475115568,18.78,439
8596475115575,18.78,186
8596475115582,18.78,150
8596475115599,18.78,377
8596475115803,47.25,13
8596475115810,47.25,43
8596475115971,20.68,217
8596475116237,73.81,150
8596475116244,73.81,165
8596475116251,73.81,170
8596475116367,75.71,58
8596475116374,75.71,66
8596475117135,28.27,356
8596475117647,47.25,77
8596475118736,32.07,40
8596475118743,32.07,34
8596475118750,32.07,11
8596475118767,20.68,315
8596475118774,32.07,26
8596475119344,20.68,275
8596475119603,20.68,231
8596475119610,20.68,347
8596475119627,20.68,40
8596475119634,20.68,262
8596475119641,20.68,110
8596475119672,51.04,28
8596475120111,20.68,263
8596475120135,20.68,247
8596475121088,20.68,355
8596475121897,20.68,214
8596475121989,20.68,218
8596475121996,20.68,135
8596475122528,,0
8596475123464,20.68,268
8596475123495,20.68,252
8596475123501,20.68,290
8596475124096,33.96,269
8596475124157,20.68,31
8596475124171,20.68,289
8596475125178,20.68,362
8596475126328,18.78,34
8596475126366,47.25,30
8596475126397,20.68,809
8596475126748,43.45,19
8596475127110,32.07,57
8596475127127,35.86,147
8596475127134,35.86,169
8596475127141,35.86,182
8596475127158,35.86,154
8596475127165,35.86,168
8596475127172,35.86,81
8596475127189,35.86,186
8596475127196,35.86,177
8596475127202,35.86,122
8596475127417,51.04,22
8596475127424,51.04,29
8596475127431,51.04,21
8596475127448,51.04,29
8596475127646,32.07,14
8596475127653,32.07,656
8596475127660,32.07,186
8596475127677,32.07,84
8596475127721,24.48,88
8596475127738,24.48,72
8596475130363,20.68,318
8596475130370,20.68,294
8596475131575,32.07,283
8596475132015,20.68,266
8596475134712,20.68,96
8596475134729,20.68,767
8596475134736,20.68,111
8596475134743,20.68,125
8596475134941,20.68,88
8596475135085,20.68,76
8596475135092,20.68,66
8596475135108,20.68,219
8596475135115,20.68,135
8596475135139,20.68,346
8596475135320,20.68,78
8596475135375,20.68,182
8596475135382,20.68,209
8596475135405,20.68,191
8596475135412,20.68,187
8596475135429,20.68,69
8596475135566,20.68,106
8596475135887,20.68,99
8596475136136,20.68,740
8596475136143,20.68,770
8596475136426,20.68,199
8596475136433,20.68,248
8596475136457,32.07,6
